id,anio,transporte_almacenamiento _comunicaciones
1,2000,650.4750769
2,2001,100782.4405
3,2002,23090.69632
4,2003,439097.3796
5,2004,73695.92688
6,2005,17502.76544
7,2006,83323.97812
8,2007,-52460.12228
9,2008,276080.879
10,2009,64238.24992
11,2010,-349337.6952
12,2011,-47618.86976
13,2012,-13487.325
14,2013,-8530.326
15,2014,-247275.5758
16,2015,-42585.35186
17,2016,39080.61975
18,2017,47210.30155
19,2018,52829.02825
20,2019,98864.34475
21,2020,3572.796
22,2021,45211.63296
23,2022,18030.21892
24,2023,37959.3981
25,2024,103691.0849
25,2025,26615.52
