id,anio,fecha,titulo,descripcion,categoria,enlace,referencia
1,1992,Junio,Llegada de Internet (Ecuanet),"La conexión de los nodos de Ecuanet marcó el ingreso formal del Ecuador a Internet desde Quito, este proceso permitió interconectar universidades, centros de investigación y entidades financieras con redes globales.",tecnología,https://www.eltelegrafo.com.ec/noticias/tecnologia/1/ecuador-accede-a-internet-desde-hace-25-anos,El Telégrafo
2,1992,10 de agosto,Ley Especial de Telecomunicaciones,Publicación en Registro Oficial 996 para regular el sector. Necesidad de regular un sector en crecimiento y separar los roles de control.,legal,https://www.telecomunicaciones.gob.ec/wp-content/uploads/downloads/2012/11/Ley-Especial-de-Telecomunicaciones.pdf,Registro Oficial 996
3,2000,5 de septiembre,Acceso Universal,Declaración del Acceso Universal como Política de Estado. Su objetivo fue impulsar la difusión del internet a nivel nacional.,legal,https://www.gobiernoelectronico.gob.ec/ano2000/,Gobierno Electrónico
4,2002,17 de abril,Ley de Comercio Electrónico,Dar validez legal a la firma electrónica igual que la manuscrita. Fue la base legal para el millón de firmas electrónicas mensuales actuales.,legal,https://www.gob.ec/sites/default/files/regulations/2018-11/Documento_Reglamento-General-Ley-de-Comercio-Electrónico-Firmas-Electrónicas-Mensajes-de-Datos.pdf,Ley PDF
5,2009,13 de agosto,Creación del MINTEL,Ministerio de Telecomunicaciones y Sociedad de la Información. Su objetivo fue concentrar la rectoría de conectividad y gobierno electrónico.,tecnología,https://www.telecomunicaciones.gob.ec/mintel-cumple-7-anos-de-servir-a-los-ecuatorianos/,MINTEL
6,2009,11 de mayo,Sistema de Gestión Documental QUIPUX,"Emisión del Instructivo para normar el uso obligatorio del Sistema de Gestión Documental QUIPUX en las entidades de la Administración Pública Central. Necesidad de uniformar la gestión documental en la administración pública, reducir el uso del papel y mejorar el control.",legal,https://web.gestiondocumental.gob.ec/wp-content/uploads/2020/08/110713-Acuerdo-781.pdf,Registro Oficial No. 597
7,2013,17 de mayo,Facturación Electrónica SRI,Inicio de obligatoriedad por grupos para comprobantes digitales. Control tributario eficiente y automatización.,tecnología financiera,https://www.sri.gob.ec/facturacion-electronica,SRI
8,2018,23 de octubre,Ley de Optimización de Trámites,Prohibición de exigir documentos físicos que el Estado ya posee. Reducir burocracia y costos para el ciudadano.,legal,https://www.gob.ec/regulaciones/ley-organica-optimizacion-eficiencia-tramites-administrativos,Ley Gob.ec
9,2019,6 de noviembre,Portal GOB.EC,Lanzamiento de la plataforma centralizada de servicios ciudadanos. Ordenar la oferta dispersa de trámites.,tecnología,https://www.e-comex.com/gobierno-pone-en-linea-1600-tramites-ciudadanos-en-ecuador/,Gob.ec
10,2020,22 de junio,Sistema Automático de Trámite Judicial Ecuatoriano (SATJE),"Implementación del Sistema Automático de Trámite Judicial Ecuatoriano (SATJE) como plataforma informática para la gestión, registro y seguimiento de causas judiciales en la Función Judicial.",tecnología,https://www.funcionjudicial.gob.ec/consejo-de-la-judicatura-implementa-el-e-satje-2020-herramienta-tecnologica-que-permite-gestionar-tramites-judiciales-en-linea/,Función Judicial del Ecuador
11,2021,26 de mayo,Protección de Datos Personales,Ley Orgánica de Protección de Datos Personales. Proteger la privacidad ante el tratamiento masivo de datos.,legal,https://www.finanzaspopulares.gob.ec/wp-content/uploads/2021/07/ley_organica_de_proteccion_de_datos_personales.pdf,Ley LOPDP
12,2024,,Agenda Digital y Política 2030,Política Pública para la Transformación Digital 2025-2030. Necesidad de interoperabilidad total y ciberseguridad avanzada. Hoja de ruta para cerrar la brecha rural y mejorar la justicia digital.,legal,https://www.gobiernoelectronico.gob.ec/wp-content/uploads/2025/03/INSTRUMENTO-Politica-Publica-para-la-Transformacion-Digital-Ecuador-2025-2030-MINTEL-signed_f.pdf,Política 2025
