id,anio,empresa,ventas,perdida,activo,inventario,pasivo,patrimonio
1,2019,TUTI,2.49,-3.53,2.12,0,6.36,-3.52
2,2020,TUTI,28.51,-5.92,14.34,0,21.53,-7.19
3,2021,TUTI,85.75,-6.77,28.3,14.34,44.57,-16.27
4,2022,TUTI,240.09,-6.75,99.49,19.57,122.5,-23.01
5,2023,TUTI,446.67,-6.05,161.8,29.59,190.38,-28.58
6,2024,TUTI,693.24,0.63,261.96,42.89,289.29,-27.33
7,2019,Corporación Favorita,2103.83,155.76,2051.46,252,662.14,1389.32
8,2020,Corporación Favorita,2170.6,147.5,2121.86,246.04,638.89,1482.97
9,2021,Corporación Favorita,2178.78,143.82,2343.21,244.95,771.98,1571.22
10,2022,Corporación Favorita,2355.58,152.68,2480.4,295.5,800.38,1680.02
11,2023,Corporación Favorita,2483.06,165.23,2564.38,292.69,778.41,1785.97
12,2024,Corporación Favorita,2546.1,157.78,2694.15,314.09,826.48,1867.67
13,2019,Tía,707.46,28.98,490.7,68.3,390.15,100.55
14,2020,Tía,701.58,29.03,537.15,74.57,439.17,97.98
15,2021,Tía,705.02,22.7,593.78,88.85,497.31,96.47
16,2022,Tía,776.16,30.23,604.3,95.26,515.98,88.32
17,2023,Tía,787.98,20.09,636.6,92.22,561.01,75.59
18,2024,Tía,754.41,6.64,646.6,76.22,543.91,102.69
